Alpha Code,Common Name,Genus,Species
JAEU,Jamaican Euphonia,Euphonia,jamaica
JALC,Jamaican Lizard-Cuckoo,Coccyzus,vetula
JAMA,Jamaican Mango,Anthracothorax,mango
JAMS,Jamaican Spindalis,Spindalis,nigricephala
JAOR,Jamaican Oriole,Icterus,leucopteryx
JAOW,Jamaican Owl,Asio,grammicus
JAPA,Jamaican Pauraque,Siphonorhis,americana
JAPE,Jamaican Pewee,Contopus,pallidus
JAQU,Japanese Quail,Coturnix,japonica
JASN,Jack Snipe,Lymnocryptes,minimus
JASP,Java Sparrow,Padda,oryzivora
JATO,Jamaican Tody,Todus,todus
JAVI,Jamaican Vireo,Vireo,modestus
JAWO,Jamaican Woodpecker,Melanerpes,radiolatus
JEAN,Jet Antbird,Cercomacra,nigricans
JFPE,Juan Fernandez Petrel,Pterodroma,externa
JOPE,Jouanin's Petrel,Bulweria,fallax
JUTI,Juniper Titmouse,Baeolophus,ridgwayi
KAAK,Kauai Akialoa,Akialoa,stejnegeri
KAAM,Kauai Amakihi,Chlorodrepanis,stejnegeri
KAEL,Kauai Elepaio,Chasiempis,sclateri
KAKA,Kakawahie,Paroreomyza,flammea
KAMA,Kamao,Myadestes,myadestinus
KANU,Kauai Nukupuu,Hemignathus,hanapepe
KAOO,Kauai Oo,Moho,braccatus
KAPH,Kalij Pheasant,Lophura,leucomelanos
KBMO,Keel-billed Motmot,Electron,carinatum
KBTO,Keel-billed Toucan,Ramphastos,sulfuratus
KEGU,Kelp Gull,Larus,dominicanus
KEPE,Kermadec Petrel,Pterodroma,neglecta
KEWA,Kentucky Warbler,Geothlypis,formosa
KIEI,King Eider,Somateria,spectabilis
KILL,Killdeer,Charadrius,vociferus
KIMU,Kittlitz's Murrelet,Brachyramphus,brevirostris
KIOE,Kioea,Chaetoptila,angustipluma
KIRA,King Rail,Rallus,elegans
KIVU,King Vulture,Sarcoramphus,papa
KIWA,Kirtland's Warbler,Setophaga,kirtlandii
KLWA,Kamchatka Leaf Warbler,Phylloscopus,examinandus
KOGR,Kona Grosbeak,Chloridops,kona
KUGU,Kumlien's Gull,Larus,glaucoides kumlieni
KWQD,Key West Quail-Dove,Geotrygon,chrysia
LAAL,Laysan Albatross,Phoebastria,immutabilis
LABD,Labrador Duck,Camptorhynchus,labradorius
LAEU,Lesser Antillean Euphonia,Chlorophonia,flavifrons
LAFA,Laughing Falcon,Herpetotheres,cachinnans
LAFI,Laysan Finch,Telespiza,cantans
LAFL,Lesser Antillean Flycatcher,Myiarchus,oberi
LAGO,Lawrence's Goldfinch,Spinus,lawrencei
LAGU,Laughing Gull,Leucophaeus,atricilla
LALO,Lapland Longspur,Calcarius,lapponicus
LAMO,Lanceolated Monklet,Micromonacha,lanceolata
LANB,Lesser Antillean Bullfinch,Loxigilla,noctis
LANH,Lanai Hookbill,Dysmorodrepanis,munroi
LANW,Lanceolated Warbler,Locustella,lanceolata
LAPE,Lesser Antillean Pewee,Contopus,latirostris
LARA,Laysan Rail,Zapornia,palmeri
LARB,Lark Bunting,Calamospiza,melanocorys
LASA,Lesser Antillean Saltator,Saltator,albicollis
LASP,Lark Sparrow,Chondestes,grammacus
LASW,Lesser Antillean Swift,Chaetura,martinica
LATA,Lesser Antillean Tanager,Stilpnia,cucullata
LATM,Lance-tailed Manakin,Chiroxiphia,lanceolata
LAVW,Lavender Waxbill,Glaucestrilda,caerulescens
LAWA,Lawrence's Warbler,Vermivora,cyanoptera x chrysoptera
LAYD,Laysan Duck,Anas,laysanensis
LAYH,Laysan Honeycreeper,Himatione,fraithii
LAZB,Lazuli Bunting,Passerina,amoena
LBBG,Lesser Black-backed Gull,Larus,fuscus
LBCU,Long-billed Curlew,Numenius,americanus
LBDO,Long-billed Dowitcher,Limnodromus,scolopaceus
LBFH,Laysan X Black-foot. Albatross Hybrid,Phoebastria,immutabilis x nigripes
LBGN,Long-billed Gnatwren,Ramphocaenus,melanurus
LBHE,Little Blue Heron,Egretta,caerulea
LBIH,Long-billed Hermit,Phaethornis,longirostris
LBMU,Long-billed Murrelet,Brachyramphus,perdix
LBSF,Large-billed Seed-Finch,Sporophila,crassirostris
LBSP,Large-billed Sparrow,Passerculus,sandwichensis rostratus
LBST,Long-billed Starthroat,Heliomaster,longirostris
LBTE,Large-billed Tern,Phaetusa,simplex
LBTH,Long-billed Thrasher,Toxostoma,longirostre
LBVI,Least Bell's Vireo,Vireo,bellii pusillus
LBWO,Ladder-backed Woodpecker,Dryobates,scalaris
LCGO,Large Canada Goose,Branta,canadensis moffitti
LCPA,Lilac-crowned Parrot,Amazona,finschi
LCSP,LeConte's Sparrow,Ammospiza,leconteii
LCTH,LeConte's Thrasher,Toxostoma,lecontei
LEAK,Lesser Akialoa,Akialoa,obscura
LEAU,Least Auklet,Aethia,pusilla
LEBI,Least Bittern,Ixobrychus,exilis
LEEL,Lesser Elaenia,Elaenia,chiriquensis
LEFL,Least Flycatcher,Empidonax,minimus
LEFR,Lesser Frigatebird,Fregata,ariel
LEGC,Lesser Ground-Cuckoo,Morococcyx,erythropygus
LEGO,Lesser Goldfinch,Spinus,psaltria
LEGP,Lesser Golden-Plover,Pluvialis,dominica/fulva
LEGR,Least Grebe,Tachybaptus,dominicus
LEKF,Lesser Koa-Finch,Rhodacanthis,flaviceps
LEKI,Lesser Kiskadee,Philohydor,lictor
LEMO,Lesson's Motmot,Momotus,lessonii
LENI,Lesser Nighthawk,Chordeiles,acutipennis
LEOW,Long-eared Owl,Asio,otus
LEPA,Least Pauraque,Siphonorhis,brewsteri
LEPC,Lesser Prairie-Chicken,Tympanuchus,pallidicinctus
LERE,Lesser Redpoll,Acanthis,cabaret
LERO,Lesser Roadrunner,Geococcyx,velox
LESA,Least Sandpiper,Calidris,minutilla
LESC,Lesser Scaup,Aythya,affinis
LESE,Lesson's Seedeater,Sporophila,bouvronides
LESG,Lesser Greenlet,Pachysylvia,decurtata
LESP,Leach's Storm-Petrel,Hydrobates,leucorhous
LETE,Least Tern,Sternula,antillarum
LEVI,Lesser Violetear,Colibri,cyanotus
LEWH,Lesser Whitethroat,Sylvia,curruca
LEWO,Lewis's Woodpecker,Melanerpes,lewis
LEYE,Lesser Yellowlegs,Tringa,flavipes
LFFI,Large-footed Finch,Pezopetes,capitalis
LFRR,Light-footed Ridgway's Rail,Rallus,obsoletus levipes
LIBI,Little Bittern,Ixobrychus,minutus
LIBU,Little Bunting,Emberiza,pusilla
LICU,Little Curlew,Numenius,minutus
LIEG,Little Egret,Egretta,garzetta
LIFG,Lineated Foliage-gleaner,Syndactyla,subalaris
LIGU,Little Gull,Hydrocoloeus,minutus
LIMP,Limpkin,Aramus,guarauna
LISE,Lined Seedeater,Sporophila,lineola
LISP,Lincoln's Sparrow,Melospiza,lincolnii
LIST,Little Stint,Calidris,minuta
LITC,Little Cuckoo,Coccycua,minuta
LITE,Little Tern,Sternula,albifrons
LITI,Little Tinamou,Crypturellus,soui
LIWO,Lineated Woodpecker,Dryocopus,lineatus
LLBU,Long-legged Buzzard,Buteo,rufinus
LMAL,Light-mantled Albatross,Phoebetria,palpebrata
LOCO,Lovely Cotinga,Cotinga,amabilis
LOKI,Loggerhead Kingbird,Tyrannus,caudifasciatus
LOSH,Loggerhead Shrike,Lanius,ludovicianus
LOTM,Long-tailed Manakin,Chiroxiphia,linearis
LOWA,Louisiana Waterthrush,Parkesia,motacilla
LRPL,Little Ringed Plover,Charadrius,dubius
LSAP,Lesser Sand-Plover,Charadrius,mongolus
LSFL,La Sagra's Flycatcher,Myiarchus,sagrae
LSGB,Lesser Snow Goose Blue-morph,Anser,caerulescens caerulescens
LSGI,Lesser Snow Goose Intermediate-morph,Anser,caerulescens caerulescens
LSGW,Lesser Snow Goose White-morph,Anser,caerulescens caerulescens
LSTA,Lemon-spectacled Tanager,Chlorothraupis,olivacea
LSTH,La Selle Thrush,Turdus,swalesi
LSTP,Least Storm-Petrel,Hydrobates,microsoma
LSTS,Lesser Swallow-tailed Swift,Panyptila,cayennensis
LTDU,Long-tailed Duck,Clangula,hyemalis
LTJA,Long-tailed Jaeger,Stercorarius,longicaudus
LTSF,Long-tailed Silky-flycatcher,Ptiliogonys,caudatus
LTST,Long-toed Stint,Calidris,subminuta
LTTR,Lattice-tailed Trogon,Trogon,clathratus
LTTY,Long-tailed Tyrant,Colonia,colonus
LTWO,Long-tailed Woodcreeper,Deconychura,longicauda
LTWP,Long-tailed Wood-Partridge,Dendrortyx,macroura
LUHU,Lucifer Hummingbird,Calothorax,lucifer
LUWA,Lucy's Warbler,Leiothlypis,luciae
LWFG,Lesser White-fronted Goose,Anser,erythropus
LWHA,Long-winged Harrier,Circus,buffoni
LYHV,Lesser Yellow-headed Vulture,Cathartes,burrovianus
MAAK,Maui Akepa,Loxops,ochraceus
MAAL,Maui Alauahio,Paroreomyza,montana
MAAN,Mayan Antthrush,Formicarius,moniliger
MABO,Masked Booby,Sula,dactylatra
MACU,Mangrove Cuckoo,Coccyzus,minor
MADU,Masked Duck,Nomonyx,dominicus
MAFR,Magnificent Frigatebird,Fregata,magnificens
MAGO,Marbled Godwit,Limosa,fedoa
MAHU,Mangrove Hummingbird,Amazilia,boucardi
MALL,Mallard,Anas,platyrhynchos
MAMU,Marbled Murrelet,Brachyramphus,marmoratus
MANS,Mangrove Swallow,Tachycineta,albilinea
MANU,Maui Nukupuu,Hemignathus,affinis
MANW,Mangrove Warbler,Setophaga,petechia erithachorides
MAOR,Martinique Oriole,Icterus,bonana
MAPA,Maui Parrotbill,Pseudonestor,xanthophrys
MARA,Mangrove Rail,Rallus,longirostris
MASA,Marsh Sandpiper,Tringa,stagnatilis
MASH,Manx Shearwater,Puffinus,puffinus
MASO,Middle American Screech-Owl,Megascops,guatemalae
MASP,Markham's Storm-Petrel,Hydrobates,markhami
MAST,Maguari Stork,Ciconia,maguari
MASW,Mariana Swiftlet,Aerodramus,bartschi
MATI,Masked Tityra,Tityra,semifasciata
MAVI,Mangrove Vireo,Vireo,pallens
MAWA,Magnolia Warbler,Setophaga,magnolia
MAWQ,Marbled Wood-Quail,Odontophorus,gujanensis
MAWR,Marsh Wren,Cistothorus,palustris
MBDH,Mallard X American Black Duck Hybrid,Anas,platyrhynchos x rubripes
MCGD,Maroon-chested Ground Dove,Paraclaravis,mondetoura
MCGO,Minima Cackling Goose,Branta,hutchinsii minima
MCTY,Mouse-colored Tyrannulet,Nesotriccus,murinus
MEAP,Mealy Parrot,Amazona,farinosa
MEBL,Melodious Blackbird,Dives,dives
MECH,Mexican Chickadee,Poecile,sclateri
MEDU,Mexican Duck,Anas,diazi
MEHE,Mexican Hermit,Phaethornis,mexicanus
MEJA,Mexican Jay,Aphelocoma,wollweberi
MEPI,Meadow Pipit,Anthus,pratensis
MERL,Merlin,Falco,columbarius
MESH,Mexican Sheartail,Doricha,eliza
MEVI,Mexican Violetear,Colibri,thalassinus
MEWO,Mexican Woodnymph,Eupherusa,ridgwayi
MEXP,Mexican Parrotlet,Forpus,cyanopygius
MFPA,Maroon-fronted Parrot,Rhynchopsitta,terrisi
MGRW,Middendorff's Grasshopper Warbler,Helopsaltes,ochotensis
MGWA,MacGillivray's Warbler,Geothlypis,tolmiei
MHDH,Mallard X Hawaiian Duck Hybrid,Anas,platyrhynchos x wyvilliana
MIKI,Mississippi Kite,Ictinia,mississippiensis
MILL,Millerbird,Acrocephalus,familiaris
MIMA,Military Macaw,Ara,militaris
MIPA,Mitred Parakeet,Psittacara,mitratus
MITH,Mistle Thrush,Turdus,viscivorus
MITY,Mistletoe Tyrannulet,Zimmerius,parvus
MKBU,McKay's Bunting,Plectrophenax,hyperboreus
MNAK,Maui-nui Akialoa,Akialoa,lanaiensis
MOAN,Moustached Antwren,Myrmotherula,ignota
MOBL,Mountain Bluebird,Sialia,currucoides
MOCH,Mountain Chickadee,Poecile,gambeli
MODO,Mourning Dove,Zenaida,macroura
MODU,Mottled Duck,Anas,fulvigula
MOEL,Mountain Elaenia,Elaenia,frantzii
MONQ,Montezuma Quail,Cyrtonyx,montezumae
MOOW,Mottled Owl,Strix,virgata
MOPA,Monk Parakeet,Myiopsitta,monachus
MOPE,Mottled Petrel,Pterodroma,inexpectata
MOPL,Mountain Plover,Charadrius,montanus
MORI,Montserrat Oriole,Icterus,oberi
MORO,Montezuma Oropendola,Psarocolius,montezuma
MOSE,Morelet's Seedeater,Sporophila,morelleti
MOTH,Mountain Thrush,Turdus,plebejus
MOTR,Mountain Trogon,Trogon,mexicanus
MOUQ,Mountain Quail,Oreortyx,pictus
MOWA,Mourning Warbler,Geothlypis,philadelphia
MSCR,Mississippi Sandhill Crane,Antigone,canadensis pulla
MSOW,Mexican Spotted Owl,Strix,occidentalis lucida
MTWO,Magenta-throated Woodstar,Philodice,bryantae
MUDU,Muscovy Duck,Cairina,moschata
MUFL,Mugimaki Flycatcher,Ficedula,mugimaki
MUPE,Murphy's Petrel,Pterodroma,ultima
MUSW,Mute Swan,Cygnus,olor
MWCS,Mountain White-crowned Sparrow,Zonotrichia,leucophrys oriantha
MWPW,Mexican Whip-poor-will,Antrostomus,arizonae
MYWA,Myrtle Warbler,Setophaga,coronata coronata
NABO,Nazca Booby,Sula,granti
NAFL,Narcissus Flycatcher,Ficedula,narcissina
NAPA,Nanday Parakeet,Aratinga,nenday
NATH,Naumann's Thrush,Turdus,naumanni
NAWA,Nashville Warbler,Leiothlypis,ruficapilla
NAWR,Nava's Wren,Hylorchilus,navai
NBTO,Narrow-billed Tody,Todus,angustirostris
NECO,Neotropic Cormorant,Nannopterum,brasilianum
NESH,Newell's Shearwater,Puffinus,newelli
NESP,Nelson's Sparrow,Ammospiza,nelsoni
NHOW,Northern Hawk Owl,Surnia,ulula
NIFI,Nihoa Finch,Telespiza,ultima
NIGR,Nicaraguan Grackle,Quiscalus,nicaraguensis
NISF,Nicaraguan Seed-Finch,Sporophila,nuttingi
NIWR,Nightingale Wren,Microcerculus,philomela
NOBB,Northern Boobook,Ninox,japonica
NOBE,Northern Bentbill,Oncostoma,cinereigulare
NOBO,Northern Bobwhite,Colinus,virginianus
NOBT,Northern Beardless-Tyrannulet,Camptostoma,imberbe
NOBW,Northern Barred-Woodcreeper,Dendrocolaptes,sanctithomae
NOCA,Northern Cardinal,Cardinalis,cardinalis
NOET,Northern Emerald-Toucanet,Aulacorhynchus,prasinus
NOFL,Northern Flicker,Colaptes,auratus
NOFU,Northern Fulmar,Fulmarus,glacialis
NOGA,Northern Gannet,Morus,bassanus
NOGP,Northern Giant-Petrel,Macronectes,halli
NOHA,Northern Harrier,Circus,hudsonius
NOJA,Northern Jacana,Jacana,spinosa
NOLA,Northern Lapwing,Vanellus,vanellus
NOMO,Northern Mockingbird,Mimus,polyglottos
NONE,None, None, none
NOPA,Northern Parula,Setophaga,americana
NOPI,Northern Pintail,Anas,acuta
NOPO,Northern Pygmy-Owl,Glaucidium,gnoma
NORP,Northern Potoo,Nyctibius,jamaicensis
NOSC,Northern Schiffornis,Schiffornis,veraepacis
NOSF,Northern Scrub-Flycatcher,Sublegatus,arenarum
NOWA,Northern Waterthrush,Parkesia,noveboracensis
NOWH,Northern Wheatear,Oenanthe,oenanthe
NRBI,Northern Red Bishop,Euplectes,franciscanus
NRWS,Northern Rough-winged Swallow,Stelgidopteryx,serripennis
NSHO,Northern Shoveler,Spatula,clypeata
NSHR,Northern Shrike,Lanius,borealis
NSOW,Northern Spotted Owl,Strix,occidentalis caurina
NSWO,Northern Saw-whet Owl,Aegolius,acadicus
NUFL,Nutting's Flycatcher,Myiarchus,nuttingi
NUWO,Nuttall's Woodpecker,Dryobates,nuttallii
NWCS,Nuttall's White-crowned Sparrow,Zonotrichia,leucophrys nuttalli
OAAL,Oahu Alauahio,Paroreomyza,maculata
OAAM,Oahu Amakihi,Chlorodrepanis,flava
OAEL,Oahu Elepaio,Chasiempis,ibidis
OAKE,Oahu Akepa,Loxops,wolstenholmei
OAKI,Oahu Akialoa,Akialoa,ellisiana
OANU,Oahu Nukupuu,Hemignathus,lucidus
OAOO,Oahu Oo,Moho,apicalis
OASP,Oaxaca Sparrow,Aimophila,notosticta
OATI,Oak Titmouse,Baeolophus,inornatus
OBAE,Olive-backed Euphonia,Euphonia,gouldi
OBAN,Ochre-breasted Antpitta,Grallaricula,flavirostris
OBBU,Orange-breasted Bunting,Passerina,leclancherii
OBEE,Orange-bellied Euphonia,Euphonia,xanthogaster
OBFA,Orange-breasted Falcon,Falco,deiroleucus
OBFL,Ochre-bellied Flycatcher,Mionectes,oleagineus
OBNT,Orange-billed Nightingale-Thrush,Catharus,aurantiirostris
OBPI,Olive-backed Pipit,Anthus,hodgsoni
OBQD,Olive-backed Quail-Dove,Leptotrygon,veraguensis
OBSP,Orange-billed Sparrow,Arremon,aurantiirostris
OBTR,Orange-bellied Trogon,Trogon,collaris aurantiiventris
OCAN,Ocellated Antbird,Phaenostictus,mcleannani
OCAW,Olive-capped Warbler,Setophaga,pityophila
OCBE,One-colored Becard,Pachyramphus,homochrous
OCCR,Ocellated Crake,Rufirallus,schomburgkii
OCHW,Orange-cheeked Waxbill,Estrilda,melpoda
OCMA,Orange-collared Manakin,Manacus,aurantiacus
OCOR,Orange-crowned Oriole,Icterus,auricapillus
OCPA,Orange-chinned Parakeet,Brotogeris,jugularis
OCPE,Ochraceous Pewee,Contopus,ochraceus
OCPO,Ocellated Poorwill,Nyctiphrynus,ocellatus
OCQU,Ocellated Quail,Cyrtonyx,ocellatus
OCTH,Ocellated Thrasher,Toxostoma,ocellatum
OCTU,Ocellated Turkey,Meleagris,ocellata
OCWA,Orange-crowned Warbler,Leiothlypis,celata
OCWR,Ochraceous Wren,Troglodytes,ochraceus
OCYE,Olive-crowned Yellowthroat,Geothlypis,semiflava
OFPA,Orange-fronted Parakeet,Eupsittula,canicularis
OILB,Oilbird,Steatornis,caripensis
OLFL,Olivaceous Flatbill,Rhynchocyclus,olivaceus
OLOM,Olomao,Myadestes,lanaiensis
OLPI,Olivaceous Piculet,Picumnus,olivaceus
OLSP,Olive Sparrow,Arremonops,rufivirgatus
OLWA,Olive Warbler,Peucedramus,taeniatus
OLWO,Olivaceous Woodcreeper,Sittasomus,griseicapillus
OMAO,Omao,Myadestes,obscurus
ORAN,Orangequit,Euneornis,campestris
ORAO,Orange Oriole,Icterus,auratus
ORCU,Oriental Cuckoo,Cuculus,optatus
ORGO,Orinoco Goose,Neochen,jubata
ORGR,Oriental Greenfinch,Chloris,sinica
ORHE,Ornate Hawk-Eagle,Spizaetus,ornatus
ORJU,Oregon Junco,Junco,hyemalis oreganus
OROR,Orchard Oriole,Icterus,spurius
ORPL,Oriental Plover,Charadrius,veredus
ORPR,Oriental Pratincole,Glareola,maldivarum
ORSO,Oriental Scops-Owl,Otus,sunia
ORTD,Oriental Turtle-Dove,Streptopelia,orientalis
ORWA,Oriente Warbler,Teretistris,fornsi
OSFL,Olive-sided Flycatcher,Contopus,cooperi
OSPR,Osprey,Pandion,haliaetus
OSTF,Olive-striped Flycatcher,Mionectes,olivaceus
OTPA,Olive-throated Parakeet,Eupsittula,nana
OU,Ou,Psittirostra,psittacea
OVEN,Ovenbird,Seiurus,aurocapilla
PAAN,Pacific Antwren,Myrmotherula,pacifica
PAAU,Parakeet Auklet,Aethia,psittacula
PABU,Painted Bunting,Passerina,ciris
PACP,Pacific Parakeet,Psittacara,strenuus
PAFL,Panama Flycatcher,Myiarchus,panamensis
PAGP,Pacific Golden-Plover,Pluvialis,fulva
PAGU,Pallas's Gull,Ichthyaetus,ichthyaetus
PAIP,Painted Parakeet,Pyrrhura,picta
PAJA,Parasitic Jaeger,Stercorarius,parasiticus
PALB,Pallas's Bunting,Emberiza,pallasi
PALI,Palila,Loxioides,bailleui
PALM,Palmchat,Dulus,dominicus
PALO,Pacific Loon,Gavia,pacifica
PAPE,Parkinson's Petrel,Procellaria,parkinsoni
PAPI,Passenger Pigeon,Ectopistes,migratorius
PARE,Painted Redstart,Myioborus,pictus
PARO,Pallas's Rosefinch,Carpodacus,roseus
PASO,Pacific Screech-Owl,Megascops,cooperi
PATA,Palm Tanager,Thraupis,palmarum
PAWA,Palm Warbler,Setophaga,palmarum
PAWR,Pacific Wren,Troglodytes,pacificus
PBBA,Prong-billed Barbet,Semnornis,frantzii
PBCR,Paint-billed Crake,Mustelirallus,erythrops
PBCU,Pearly-breasted Cuckoo,Coccyzus,euleri
PBFI,Peg-billed Finch,Acanthidops,bairdi
PBGD,Plain-breasted Ground Dove,Columbina,minuta
PBGR,Pied-billed Grebe,Podilymbus,podiceps
PBHE,Pale-bellied Hermit,Phaethornis,anthophilus
PBIW,Pale-billed Woodpecker,Campephilus,guatemalensis
PBJA,Purplish-backed Jay,Cyanocorax,beecheii
PBQD,Purplish-backed Quail-Dove,Zentrygon,lawrencii
PBRW,Plain-brown Woodcreeper,Dendrocincla,fuliginosa
PBSP,Pale-breasted Spinetail,Synallaxis,albescens
PBWH,Puerto Rican Broad-winged Hawk,Buteo,platypterus brunnescens
PCFA,Purple-crowned Fairy,Heliothryx,barroti
PCST,Plain-capped Starthroat,Heliomaster,constantii
PCTA,Plain-colored Tanager,Tangara,inornata
PEBO,Peruvian Booby,Sula,variegata
PECO,Pelagic Cormorant,Urile,pelagicus
PEFA,Peregrine Falcon,Falco,peregrinus
PEKI,Pearl Kite,Gampsonyx,swainsonii
PEPI,Pechora Pipit,Anthus,gustavi
PEPT,Pale-eyed Pygmy-Tyrant,Lophotriccus,pilaris
PESA,Pectoral Sandpiper,Calidris,melanotos
PETH,Pearly-eyed Thrasher,Margarops,fuscatus
PFGO,Pink-footed Goose,Anser,brachyrhynchus
PFSH,Pink-footed Shearwater,Ardenna,creatopus
PGWA,Pallas's Grasshopper Warbler,Helopsaltes,certhiola
PHAI,Phainopepla,Phainopepla,nitens
PHCU,Pheasant Cuckoo,Dromococcyx,phasianellus
PHVI,Philadelphia Vireo,Vireo,philadelphicus
PHWA,Pink-headed Warbler,Cardellina,versicolor
PIBI,Pinnated Bittern,Botaurus,pinnatus
PIBU,Pine Bunting,Emberiza,leucocephalos
PICH,Pirre Chlorospingus,Chlorospingus,inornatus
PIGR,Pine Grosbeak,Pinicola,enucleator
PIGU,Pigeon Guillemot,Cepphus,columba
PIHU,Pirre Hummingbird,Goldmania,bella
PIJA,Pinyon Jay,Gymnorhinus,cyanocephalus
PILF,Pileated Flycatcher,Xenotriccus,mexicanus
PINF,Pine Flycatcher,Empidonax,affinis
PIPL,Piping Plover,Charadrius,melodus
PIPU,Pied Puffbird,Notharchus,tectus
PIRF,Piratic Flycatcher,Legatus,leucophaius
PIRW,Pirre Warbler,Basileuterus,ignotus
PISI,Pine Siskin,Spinus,pinus
PIWA,Pine Warbler,Setophaga,pinus
PIWH,Pied Wheatear,Oenanthe,pleschanka
PIWO,Pileated Woodpecker,Dryocopus,pileatus
PIWT,Pied Water-Tyrant,Fluvicola,pica
PLAN,Plain Antvireo,Dysithamnus,mentalis
PLAP,Plain Pigeon,Patagioenas,inornata
PLCH,Plain Chachalaca,Ortalis,vetula
PLEW,Pallas's Leaf Warbler,Phylloscopus,proregulus
PLHA,Plumbeous Hawk,Cryptoleucopteryx,plumbea
PLKI,Plumbeous Kite,Ictinia,plumbea
PLUP,Plumbeous Pigeon,Patagioenas,plumbea
PLUW,Plumbeous Warbler,Setophaga,plumbea
PLVI,Plumbeous Vireo,Vireo,plumbeus
PLXE,Plain Xenops,Xenops,minutus
POJA,Pomarine Jaeger,Stercorarius,pomarinus
POUL,Poo-uli,Melamprosops,phaeosoma
PRAW,Prairie Warbler,Setophaga,discolor
PRBU,Puerto Rican Bullfinch,Melopyrrha,portoricensis
PREM,Puerto Rican Emerald,Riccordia,maugaeus
PREU,Puerto Rican Euphonia,Chlorophonia,sclateri
PRFA,Prairie Falcon,Falco,mexicanus
PRFL,Puerto Rican Flycatcher,Myiarchus,antillarum
PRIO,Puerto Rican Owl,Gymnasio,nudipes
PRLC,Puerto Rican Lizard-Cuckoo,Coccyzus,vieilloti
PRMA,Puerto Rican Mango,Anthracothorax,aurulentus
PRNI,Puerto Rican Nightjar,Antrostomus,noctitherus
PROR,Puerto Rican Oriole,Icterus,portoricensis
PROW,Prothonotary Warbler,Protonotaria,citrea
PRPE,Providence Petrel,Pterodroma,solandri
PRPK,Puerto Rican Parakeet,Psittacara,maugei
PRPO,Puerto Rican Parrot,Amazona,vittata
PRPP,Puerto Rican Plain Pigeon,Patagioenas,inornata wetmorei
PRSP,Puerto Rican Spindalis,Spindalis,portoricensis
PRTA,Puerto Rican Tanager,Nesospingus,speculiferus
PRTO,Puerto Rican Tody,Todus,mexicanus
PRVI,Puerto Rican Vireo,Vireo,latimeri
PRWO,Puerto Rican Woodpecker,Melanerpes,portoricensis
PSJU,Pink-sided Junco,Junco,hyemalis mearnsi
PSSH,Puerto Rican Sharp-shinned Hawk,Accipiter,striatus venator
PSWS,Puget Sound White-crowned Sparrow,Zonotrichia,leucophrys pugetensis
PTCA,Purple-throated Carib,Eulampis,jugularis
PTFR,Purple-throated Fruitcrow,Querula,purpurata
PTMG,Purple-throated Mountain-gem,Lampornis,calolaemus
PTSN,Pin-tailed Snipe,Gallinago,stenura
PTWH,Pin-tailed Whydah,Vidua,macroura
PTWO,Purple-throated Woodstar,Philodice,mitchellii
PUAI,Puaiohi,Myadestes,palmeri
PUFI,Purple Finch,Haemorhous,purpureus
PUGA,Purple Gallinule,Porphyrio,martinicus
PUHE,Purple Heron,Ardea,purpurea
PUHO,Purple Honeycreeper,Cyanerpes,caeruleus
PUMA,Purple Martin,Progne,subis
PUSA,Purple Sandpiper,Calidris,maritima
PUSW,Purple Swamphen,Porphyrio,porphyrio
PVPI,Pale-vented Pigeon,Patagioenas,cayennensis
PVTH,Pale-vented Thrush,Turdus,obsoletus
PWWR,Pacific/Winter Wren,Troglodytes,pacificus/hiemalis
PYNU,Pygmy Nuthatch,Sitta,pygmaea
PYRR,Pyrrhuloxia,Cardinalis,sinuatus
RAGM,Red-and-green Macaw,Ara,chloropterus
RAHH,Rufous x Allen's Hummingbird Hybrid,Selasphorus,rufus x sasin
RAWW,Rufous-and-white Wren,Thryophilus,rufalbus
RAZO,Razorbill,Alca,torda
RBAN,Rufous-breasted Antthrush,Formicarius,rufipectus
RBBU,Rose-bellied Bunting,Passerina,rositae
RBEC,Rufous-bellied Chachalaca,Ortalis,wagleri
RBGR,Rose-breasted Grosbeak,Pheucticus,ludovicianus
RBGU,Ring-billed Gull,Larus,delawarensis
RBHE,Rufous-breasted Hermit,Glaucis,hirsutus
RBJU,Red-backed Junco,Junco,hyemalis dorsalis
RBLE,Red-billed Leiothrix,Leiothrix,lutea
RBME,Red-breasted Merganser,Mergus,serrator
RBNU,Red-breasted Nuthatch,Sitta,canadensis
RBPE,Rufous-browed Peppershrike,Cyclarhis,gujanensis
RBPI,Red-billed Pigeon,Patagioenas,flavirostris
RBRC,Red-breasted Chat,Granatellus,venustus
RBRM,Red-breasted Meadowlark,Leistes,militaris
RBRO,Rufous-backed Robin,Turdus,rufopalliatus
RBSA,Red-breasted Sapsucker,Sphyrapicus,ruber
RBSC,Red-billed Scythebill,Campylorhamphus,trochilirostris
RBSE,Ruddy-breasted Seedeater,Sporophila,minuta
RBSH,Red-backed Shrike,Lanius,collurio
RBSP,Rufous-breasted Spinetail,Synallaxis,erythrothorax
RBST,Red-billed Streamertail,Trochilus,polytmus
RBSW,Rufous-breasted Wren,Pheugopedius,rutilus
RBTR,Red-billed Tropicbird,Phaethon,aethereus
RBTY,Rufous-browed Tyrannulet,Phylloscartes,superciliaris
RBWO,Red-bellied Woodpecker,Melanerpes,carolinus
RBWW,Rufous-browed Wren,Troglodytes,rufociliatus
RCAT,Red-crowned Ant-Tanager,Habia,rubica
