Alpha Code,Common Name,Genus,Species
BCAV,Brown-capped Vireo,Vireo,leucophrys
BCCH,Black-capped Chickadee,Poecile,atricapillus
BCCO,Black-crested Coquette,Lophornis,helenae
BCDO,Black-capped Donacobius,Donacobius,atricapilla
BCFL,Brown-crested Flycatcher,Myiarchus,tyrannulus
BCGN,Black-capped Gnatcatcher,Polioptila,nigriceps
BCHA,Black-collared Hawk,Busarellus,nigricollis
BCHH,Blue-chested Hummingbird,Polyerata,amabilis
BCHJ,Black-chested Jay,Cyanocorax,affinis
BCHS,Black-chested Sparrow,Peucaea,humeralis
BCHU,Black-chinned Hummingbird,Archilochus,alexandri
BCMA,Brown-chested Martin,Progne,tapera
BCMO,Blue-capped Motmot,Momotus,coeruliceps
BCNH,Black-crowned Night-Heron,Nycticorax,nycticorax
BCNI,Buff-collared Nightjar,Antrostomus,ridgwayi
BCOF,Bran-colored Flycatcher,Myiophobus,fasciatus
BCOR,Black-cowled Oriole,Icterus,prosthemelas
BCPE,Black-capped Petrel,Pterodroma,hasitata
BCRC,Blue-crowned Chlorophonia,Chlorophonia,occipitalis
BCRF,Brown-capped Rosy-Finch,Leucosticte,australis
BCRJ,Bushy-crested Jay,Cyanocorax,melanocyaneus
BCRT,Black-crowned Tityra,Tityra,inquisitor
BCSI,Black-capped Siskin,Spinus,atriceps
BCSP,Black-chinned Sparrow,Spizella,atrogularis
BCSW,Black-capped Swallow,Atticora,pileata
BCTE,Blue-winged/Cinnamon Teal,Spatula,discors/cyanoptera
BCTI,Black-crested Titmouse,Baeolophus,atricristatus
BCTY,Brown-capped Tyrannulet,Ornithion,brunneicapillus
BCVI,Black-capped Vireo,Vireo,atricapilla
BCWA,Black-cheeked Warbler,Basileuterus,melanogenys
BCWO,Black-cheeked Woodpecker,Melanerpes,pucherani
BCWP,Buffy-crowned Wood-Partridge,Dendrortyx,leucophrys
BEAH,Beautiful Hummingbird,Calothorax,pulcher
BEEH,Bee Hummingbird,Mellisuga,helenae
BEFL,Belted Flycatcher,Xenotriccus,callizonus
BEGU,Belcher's Gull,Larus,belcheri
BEHU,Berylline Hummingbird,Saucerottia,beryllina
BEKI,Belted Kingfisher,Megaceryle,alcyon
BEPE,Bermuda Petrel,Pterodroma,cahow
BESO,Bearded Screech-Owl,Megascops,barbarus
BESP,Bell's Sparrow,Artemisiospiza,belli
BESW,Bewick's Swan,Cygnus,columbianus bewickii
BETH,Bendire's Thrasher,Toxostoma,bendirei
BETR,Beautiful Treerunner,Margarornis,bellulus
BEVI,Bell's Vireo,Vireo,bellii
BEWP,Bearded Wood-Partridge,Dendrortyx,barbatus
BEWQ,Black-eared Wood-Quail,Odontophorus,melanotis
BEWR,Bewick's Wren,Thryomanes,bewickii
BEYE,Belding's Yellowthroat,Geothlypis,beldingi
BFAG,Black-faced Grosbeak,Caryothraustes,poliogaster
BFAL,Black-footed Albatross,Phoebastria,nigripes
BFAN,Black-faced Antthrush,Formicarius,analis
BFBO,Blue-footed Booby,Sula,nebouxii
BFFG,Buff-fronted Foliage-gleaner,Dendroma,rufa
BFGR,Black-faced Grassquit,Melanospiza,bicolor
BFPA,Blue-fronted Parrotlet,Touit,dilectissimus
BFQD,Buff-fronted Quail-Dove,Zentrygon,costaricensis
BFSO,Black-faced Solitaire,Myadestes,melanops
BGDO,Blue Ground Dove,Claravis,pretiosa
BGGN,Blue-gray Gnatcatcher,Polioptila,caerulea
BGNO,Blue-gray Noddy,Anous,ceruleus
BGRA,Blue-black Grassquit,Volatinia,jacarina
BGRO,Blue-black Grosbeak,Cyanoloxia,cyanoides
BGTA,Blue-gray Tanager,Thraupis,episcopus
BHBR,Black-headed Brushfinch,Arremon,atricapillus
BHCO,Brown-headed Cowbird,Molothrus,ater
BHEA,Black-headed Antthrush,Formicarius,nigricapillus
BHEP,Blue-headed Parrot,Pionus,menstruus
BHGR,Black-headed Grosbeak,Pheucticus,melanocephalus
BHGU,Black-headed Gull,Chroicocephalus,ridibundus
BHHU,Blue-headed Hummingbird,Riccordia,bicolor
BHNT,Black-headed Nightingale-Thrush,Catharus,mexicanus
BHNU,Brown-headed Nuthatch,Sitta,pusilla
BHOA,Black-hooded Antshrike,Thamnophilus,bridgesi
BHOP,Brown-hooded Parrot,Pyrilia,haematotis
BHQD,Blue-headed Quail-Dove,Starnoenas,cyanocephala
BHSA,Black-headed Saltator,Saltator,atriceps
BHSI,Black-headed Siskin,Spinus,notatus
BHTA,Bay-headed Tanager,Tangara,gyrola
BHTF,Black-headed Tody-Flycatcher,Todirostrum,nigriceps
BHTR,Black-headed Trogon,Trogon,melanocephalus
BHVI,Blue-headed Vireo,Vireo,solitarius
BIAN,Bicolored Antbird,Gymnopithys,bicolor
BIHA,Bicolored Hawk,Accipiter,bicolor
BIOO,Bishop's Oo,Moho,bishopi
BITH,Bicknell's Thrush,Catharus,bicknelli
BIWR,Bicolored Wren,Campylorhynchus,griseus
BLAG,Black Guan,Chamaepetes,unicolor
BLAK,Black Kite,Milvus,migrans
BLAN,Black Antshrike,Thamnophilus,nigriceps
BLBF,Black-billed Flycatcher,Aphanotriccus,audax
BLBH,Black-bellied Hummingbird,Eupherusa,nigriventris
BLBR,Black Brant,Branta,bernicula nigricans
BLBU,Blue Bunting,Cyanocompsa,parellina
BLBW,Blackburnian Warbler,Setophaga,fusca
BLCA,Black Catbird,Melanoptila,glabrirostris
BLCO,Blue Cotinga,Cotinga,nattererii
BLDA,Blue Dacnis,Dacnis,cayana
BLFR,Black Francolin,Francolinus,francolinus
BLGR,Blue Grosbeak,Passerina,caerulea
BLGU,Black Guillemot,Cepphus,grylle
BLHE,Black Hawk-Eagle,Spizaetus,tyrannus
BLJA,Blue Jay,Cyanocitta,cristata
BLKI,Black-legged Kittiwake,Rissa,tridactyla
BLMA,Black Mamo,Drepanis,funerea
BLMO,Blue Mockingbird,Melanotis,caerulescens
BLNO,Black Noddy,Anous,minutus
BLOR,Black Oropendola,Psarocolius,guatimozinus
BLOW,Bare-legged Owl,Margarobyas,lawrencii
BLOY,Black Oystercatcher,Haematopus,bachmani
BLPH,Black Phoebe,Sayornis,nigricans
BLPW,Blackpoll Warbler,Setophaga,striata
BLRA,Black Rail,Laterallus,jamaicensis
BLRF,Black Rosy-Finch,Leucosticte,atrata
BLRW,Black-rumped Waxbill,Estrilda,troglodytes
BLSC,Black Scoter,Melanitta,americana
BLSE,Blue Seedeater,Amaurospiza,concolor
BLSK,Black Skimmer,Rynchops,niger
BLSP,Black Storm-Petrel,Hydrobates,melania
BLSW,Black Swift,Cypseloides,niger
BLTE,Black Tern,Chlidonias,niger
BLTG,Black-tailed Godwit,Limosa,limosa
BLTH,Black Thrush,Turdus,infuscatus
BLTU,Black Turnstone,Arenaria,melanocephala
BLUE,Bluethroat,Cyanecula,svecica
BLVU,Black Vulture,Coragyps,atratus
BLWO,Black-and-white Owl,Strix,nigrolineata
BMVI,Blue Mountain Vireo,Vireo,osburni
BNIB,Buff-necked Ibis,Theristicus,caudatus
BNST,Black-necked Stilt,Himantopus,mexicanus
BNUM,Bare-necked Umbrellabird,Cephalopterus,glabricollis
BOBF,Boat-billed Flycatcher,Megarynchus,pitangua
BOBO,Bobolink,Dolichonyx,oryzivorus
BOCH,Boreal Chickadee,Poecile,hudsonicus
BOGU,Bonaparte's Gull,Chroicocephalus,philadelphia
BOOW,Boreal Owl,Aegolius,funereus
BOPE,Bonin Petrel,Pterodroma,hypoleuca
BOPT,Bronze-olive Pygmy-Tyrant,Pseudotriccus,pelzelni
BOSP,Botteri's Sparrow,Peucaea,botterii
BOWA,Bohemian Waxwing,Bombycilla,garrulus
BOWR,Boucard's Wren,Campylorhynchus,jocosus
BPLT,Black-crowned Palm-Tanager,Phaenicophilus,palmarum
BPYE,Black-polled Yellowthroat,Geothlypis,speciosa
BPYT,Black-capped Pygmy-Tyrant,Myiornis,atricapillus
BRAC,Brandt's Cormorant,Urile,penicillatus
BRAM,Brambling,Fringilla,montifringilla
BRAN,Brant,Branta,bernicla
BRAT,Bright-rumped Attila,Attila,spadiceus
BRBL,Brewer's Blackbird,Euphagus,cyanocephalus
BRBO,Brown Booby,Sula,leucogaster
BRCR,Brown Creeper,Certhia,americana
BREM,Brace's Emerald,Riccordia,bracei
BREW,Blyth's Reed Warbler,Acrocephalus,dumetorum
BRHE,Bronzy Hermit,Glaucis,aeneus
BRIS,Bridled Sparrow,Peucaea,mystacalis
BRJA,Brown Jay,Psilorhinus,morio
BRMA,Bronze Mannikin,Spermestes,cucullata
BRNO,Brown Noddy,Anous,stolidus
BROC,Bronzed Cowbird,Molothrus,aeneus
BROS,Brown Shrike,Lanius,cristatus
BRPE,Brown Pelican,Pelecanus,occidentalis
BRQD,Bridled Quail-Dove,Geotrygon,mystacea
BRSP,Brewer's Sparrow,Spizella,breweri
BRSW,Band-rumped Swift,Chaetura,spinicaudus
BRTE,Bridled Tern,Onychoprion,anaethetus
BRTH,Brown Thrasher,Toxostoma,rufum
BRTI,Bridled Titmouse,Baeolophus,wollweberi
BRTR,Brown Trembler,Cinclocerthia,ruficauda
BRTW,Brownish Twistwing,Cnipodectes,subbrunneus
BRVI,Brown Violetear,Colibri,delphinae
BRWA,Brewster's Warbler,Vermivora,chrysoptera x cyanoptera
BRYS,Bryan's Shearwater,Puffinus,bryani
BSSO,Bare-shanked Screech-Owl,Megascops,clarkii
BSSP,Belding's Savannah Sparrow,Passerculus,sandwichensis beldingi
BSTP,Band-rumped Storm-Petrel,Hydrobates,castro
BSTS,Black-striped Sparrow,Arremonops,conirostris
BSWO,Black-striped Woodcreeper,Xiphorhynchus,lachrymosus
BTAH,Blue-tailed Hummingbird,Saucerottia,cyanura
BTAT,Black-tailed Trogon,Trogon,melanurus
BTBA,Band-tailed Barbthroat,Threnetes,ruckeri
BTBO,Black-throated Bobwhite,Colinus,nigrogularis
BTBW,Black-throated Blue Warbler,Setophaga,caerulescens
BTCO,Black-tipped Cotinga,Carpodectes,hopkei
BTCU,Bristle-thighed Curlew,Numenius,tahitiensis
BTFG,Buff-throated Foliage-gleaner,Automolus,ochrolaemus
BTFL,Black-tailed Flycatcher,Myiobius,atricaudus
BTGG,Black-thighed Grosbeak,Pheucticus,tibialis
BTGN,Black-tailed Gnatcatcher,Polioptila,melanura
BTGO,Bar-tailed Godwit,Limosa,lapponica
BTGR,Boat-tailed Grackle,Quiscalus,major
BTGU,Black-tailed Gull,Larus,crassirostris
BTHT,Black-throated Trogon,Trogon,rufus
BTHU,Broad-tailed Hummingbird,Selasphorus,platycercus
BTJA,Black-throated Jay,Cyanolyca,pumilo
BTMA,Black-throated Mango,Anthracothorax,nigricollis
BTMG,Blue-throated Mountain-gem,Lampornis,clemenciae
BTMJ,Black-throated Magpie-Jay,Calocitta,colliei
BTMO,Blue-throated Motmot,Aspatha,gularis
BTNW,Black-throated Green Warbler,Setophaga,virens
BTPA,Brown-throated Parakeet,Eupsittula,pertinax
BTPI,Band-tailed Pigeon,Patagioenas,fasciata
BTPL,Bronze-tailed Plumeleteer,Chalybura,urochrysia
BTRG,Blue-throated Goldentail,Chlorestes,eliciae
BTSA,Buff-throated Saltator,Saltator,maximus
BTSP,Black-throated Sparrow,Amphispiza,bilineata
BTST,Black-throated Shrike-Tanager,Lanio,aurantius
BTTH,Bare-throated Tiger-Heron,Tigrisoma,mexicanum
BTWR,Black-throated Wren,Pheugopedius,atrogularis
BTYW,Black-throated Gray Warbler,Setophaga,nigrescens
BUFF,Bufflehead,Bucephala,albeola
BUHU,Bumblebee Hummingbird,Selasphorus,heloisa
BULS,Buller's Shearwater,Ardenna,bulleri
BUOR,Bullock's Oriole,Icterus,bullockii
BUOW,Burrowing Owl,Athene,cunicularia
BUPE,Bulwer's Petrel,Bulweria,bulwerii
BURW,Buff-rumped Warbler,Myiothlypis,fulvicauda
BUSH,Bushtit,Psaltriparus,minimus
BUTU,Buffy Tuftedcheek,Pseudocolaptes,lawrencii
BVHU,Blue-vented Hummingbird,Saucerottia,hoffmanni
BVOR,Black-vented Oriole,Icterus,wagleri
BVSH,Black-vented Shearwater,Puffinus,opisthomelas
BWHA,Broad-winged Hawk,Buteo,platypterus
BWOR,Bar-winged Oriole,Icterus,maculialatus
BWPE,Black-winged Petrel,Pterodroma,nigripennis
BWST,Black-winged Stilt,Himantopus,himantopus
BWTE,Blue-winged Teal,Spatula,discors
BWVI,Black-whiskered Vireo,Vireo,altiloquus
BWWA,Blue-winged Warbler,Vermivora,cyanoptera
CAAU,Cassin's Auklet,Ptychoramphus,aleuticus
CABW,Cabanis's Wren,Cantorchilus,modestus
CACG,Cackling Goose,Branta,hutchinsii
CACH,Carolina Chickadee,Poecile,carolinensis
CACO,California Condor,Gymnogyps,californianus
CACR,Cassia Crossbill,Loxia,sinesciuris
CACW,Cactus Wren,Campylorhynchus,brunneicapillus
CADO,Caribbean Dove,Leptotila,jamaicensis
CAEG,Cattle Egret,Bubulcus,ibis
CAEL,Caribbean Elaenia,Elaenia,martinica
CAEM,Canivet's Emerald,Cynanthus,canivetii
CAFI,Cassin's Finch,Haemorhous,cassinii
CAGN,California Gnatcatcher,Polioptila,californica
CAGR,Carib Grackle,Quiscalus,lugubris
CAGS,Cabanis's Ground-Sparrow,Melozone,cabanisi
CAGU,California Gull,Larus,californicus
CAHE,Capped Heron,Pilherodius,pileatus
CAHU,Calliope Hummingbird,Selasphorus,calliope
CAJA,Canada Jay,Perisoreus,canadensis
CAKI,Cassin's Kingbird,Tyrannus,vociferans
CAKW,Canebrake Wren,Cantorchilus,zeledoni
CALT,California Towhee,Melozone,crissalis
CAMA,Caribbean Martin,Progne,dominicensis
CANG,Canada Goose,Branta,canadensis
CANT,Canyon Towhee,Melozone,fusca
CANV,Canvasback,Aythya,valisineria
CANW,Canyon Wren,Catherpes,mexicanus
CAPA,Carolina Parakeet,Conuropsis,carolinensis
CAPO,Central American Pygmy-Owl,Glaucidium,griseiceps
CAQU,California Quail,Callipepla,californica
CARW,Carolina Wren,Thryothorus,ludovicianus
CASJ,California Scrub-Jay,Aphelocoma,californica
CASP,Cassin's Sparrow,Peucaea,cassinii
CASW,Cave Swallow,Petrochelidon,fulva
CATA,Carmiol's Tanager,Chlorothraupis,carmioli
CATE,Caspian Tern,Hydroprogne,caspia
CATH,California Thrasher,Toxostoma,redivivum
CATY,Cattle Tyrant,Machetornis,rixosa
CAVI,Cassin's Vireo,Vireo,cassinii
CAWA,Canada Warbler,Cardellina,canadensis
CAYT,Cayenne Tern,Thalasseus,sandvicensis eurygnathus
CBAN,Chestnut-backed Antbird,Poliocrania,exsul
CBCH,Chestnut-backed Chickadee,Poecile,rufescens
CBCU,Chestnut-bellied Cuckoo,Coccyzus,pluvialis
CBFL,Cinnamon-bellied Flowerpiercer,Diglossa,baritula
CBRA,California Black Rail,Laterallus,jamaicensis coturniculus
CBSA,Chestnut-bellied Sandgrouse,Pterocles,exustus
CBTA,Crimson-backed Tanager,Ramphocelus,dimidiatus
CBTH,Curve-billed Thrasher,Toxostoma,curvirostre
CBWO,Crimson-bellied Woodpecker,Campephilus,haematogaster
CCAW,Chestnut-capped Warbler,Basileuterus,delattrii
CCBR,Chestnut-capped Brushfinch,Arremon,brunneinucha
CCGO,Cackling/Canada Goose,Branta,hutchinsii/canadensis
CCGR,Crimson-collared Grosbeak,Periporphyrus,celaeno
CCHA,Common Chaffinch,Fringilla,coelebs
CCHI,Common Chiffchaff,Phylloscopus,collybita
CCLO,Chestnut-collared Longspur,Calcarius,ornatus
CCOW,Chestnut-colored Woodpecker,Celeus,castaneus
CCRA,Common Crane,Grus,grus
CCRW,Crimson-crested Woodpecker,Campephilus,melanoleucos
CCSP,Clay-colored Sparrow,Spizella,pallida
