Alpha Code,Common Name,Genus,Species
ACSA,Silver maple,Acer,saccharinum
ACDE,Silver wattle,Acacia,dealbata
JUCA,Southern california black walnut,Juglans,californica
CESI,St. john's bread,Ceratonia,siliqua
ARUN,Strawberry tree,Arbutus,unedo
EUCL,Sugar gum,Eucalyptus,cladocalyx
LANO,Sweet bay,Laurus,nobilis
LIST,Sweetgum,Liquidambar,styraciflua
TAPA,Tamarisk,Tamarix,parviflora
NODE,Tanoak,Notholithocarpus,densiflorus
AIAL,Tree of heaven,Ailanthus,altissima
NIGL,Tree tobacco,Nicotiana,glauca
FRDI,Two petaled ash,Fraxinus,dipetala
UNUN,Unknown,Unknown,Unknown
QULO,Valley oak,Quercus,lobata
SABA,Weeping willow,Salix,babylonica
RHOC,Western azalea,Rhododendron,occidentale
EUOC,Western burning bush,Euonymus,occidentalis
PRVI,Western choke cherry,Prunus,virginiana
CEOC,Western redbud,Cercis,occidentalis
ALRH,White alder,Alnus,rhombifolia
POAL,White poplar,Populus,alba
PIPO,Yellow pine,Pinus,ponderosa
